BLMH	41.88647	41.54055	39.23191	38.59368	40.61522	35.19449	39.46749	37.76432	35.47408	38.87719	37.92767	28.88552	36.43627	40.02781	40.09576	41.95921	38.03773	28.56208	15.85569	23.36669	36.05608	14.51212	40.19069	30.19732	5.06867	24.41653	48.85263	23.79463	22.65428	28.20954	20.60490	28.40928	24.78504	33.82845	20.89450	25.00115	29.69486	15.72477	16.68427	20.91404	14.54659	18.96559	10.56473	26.35565	26.24379	29.13644	30.98039	26.44579	8.51333	30.36661	25.46396	13.68201	42.54223	19.77688	17.33725	9.61613	25.24753	17.76090	25.23709	24.70063	28.26806	25.33947	17.63410	23.97090	26.07234	37.41146	20.93731	26.42302	16.12264	11.81650	18.97424	19.78443
EXD1	0.00566	0.00000	0.02215	0.00000	0.01817	0.01531	0.00674	0.00561	0.00000	0.00000	0.00000	0.00606	0.00000	0.00000	0.00000	0.00000	0.01048	0.00534	0.01548	0.00444	0.00465	0.01054	0.01344	0.01757	0.00317	0.00000	0.00133	0.00981	0.01110	0.00413	0.01992	0.02796	0.00847	0.00000	0.01013	0.00325	0.00779	0.00781	0.02882	0.00000	0.00581	0.01420	0.00653	0.00000	0.00958	0.00000	0.00000	0.00000	0.04181	0.00000	0.00000	0.00855	0.00000	0.00276	0.03561	0.00491	0.00000	0.00276	0.00932	0.00389	0.00000	0.01107	0.00000	0.01396	0.00000	0.00190	0.00000	0.01099	0.01084	0.02198	0.01423	0.02753
EML2	11.07309	8.59744	7.02601	7.40711	7.85838	6.01811	8.08603	10.27116	9.34946	10.24364	9.45212	8.25675	10.86406	8.69697	10.01008	9.28530	10.20125	9.94514	12.62933	8.74827	10.52736	6.91868	9.14059	10.83263	6.42130	10.72863	10.48608	8.44026	6.86903	5.00030	6.86884	12.19741	7.15441	6.76954	13.65082	11.81270	9.50709	10.68494	9.05339	7.34773	15.36226	8.23928	5.38962	10.99121	8.11213	17.23925	10.31834	8.35794	10.50536	8.37350	7.07778	5.64522	4.39104	10.21291	9.54267	6.34099	6.30107	5.52448	5.74052	3.69546	7.75619	12.76706	5.84185	5.74406	3.76058	6.30124	7.85003	11.16773	6.91658	10.49494	5.88266	10.15963
GEMIN7	9.07102	7.07422	5.53702	5.68862	7.46083	5.39869	8.55626	6.53953	6.83127	5.54621	7.93865	8.48864	5.66342	6.14540	8.22039	6.88365	7.44412	4.78823	19.81939	4.89625	4.59610	6.58807	5.26675	4.32149	4.29677	5.02639	4.67170	3.52587	5.27130	6.42276	12.93481	14.98750	11.09537	17.33997	15.67507	18.43913	9.86068	14.70427	5.97593	10.84784	13.14770	7.99463	3.83751	11.02920	8.90917	17.35075	11.86166	12.22951	11.39426	18.18818	10.67994	5.28252	5.89158	11.15655	8.99716	6.29927	5.48011	7.28165	7.34988	5.89082	10.04958	9.60380	5.99120	6.53584	5.74601	8.39062	11.72054	7.54315	6.43217	7.18640	6.25635	11.43010
GEMIN6	8.90961	3.24964	2.75618	1.16722	3.53603	0.78972	4.11800	2.59409	1.78728	2.06189	2.25975	5.60212	1.81446	2.26691	3.28459	2.44820	3.20519	6.57068	3.27295	4.58302	4.37932	2.58609	10.21721	6.31066	0.79190	1.57075	8.71358	4.91285	3.40990	5.79459	8.38970	11.13748	5.38739	6.04478	3.19829	8.09157	6.64929	4.41998	1.04850	3.68495	4.74849	3.58109	0.61712	4.64732	2.39384	6.14691	10.27224	7.42511	3.73198	5.66383	6.77030	1.98400	3.45521	2.45758	7.71977	0.92197	4.10902	2.14248	4.08905	2.54289	4.74079	8.30405	1.55363	1.66427	0.75157	7.89489	3.64434	4.89841	2.57268	1.68595	2.75683	8.09726
GTF2A2	20.77258	16.82059	10.91625	10.80120	16.37354	12.57949	15.40506	16.68492	14.41329	12.99435	14.14537	17.85899	17.63808	18.41211	16.71548	16.10078	17.32637	18.79148	11.84017	11.21696	13.86607	14.94330	13.91402	11.45482	10.57302	14.67351	12.37589	13.68924	18.15992	31.57115	24.62780	25.22598	13.12114	28.85932	22.25244	22.12720	20.10603	19.20800	18.83235	27.08174	15.52187	11.33272	8.81042	16.37479	17.07938	20.64537	19.59832	22.78426	16.30329	15.48890	17.76039	14.82849	30.54655	18.81343	17.77778	15.08778	14.66912	14.49384	14.28673	23.92620	17.78342	20.54439	9.32914	16.53578	15.00903	16.28973	13.26253	28.52149	19.80482	14.81079	18.38605	24.93614
GTF2A1	7.19715	3.10133	2.50180	1.72300	3.88982	2.10926	3.41573	3.30506	2.68601	3.49404	3.21972	5.07043	3.28963	2.14234	3.54357	3.40241	3.14255	3.69329	1.85874	7.12795	5.79063	6.18259	9.37212	7.46474	2.24541	4.45729	6.76772	5.30729	4.16983	1.49483	2.33673	2.87414	3.21337	2.58501	2.33484	2.52525	4.70230	2.33729	2.62621	3.81146	3.54494	4.90238	1.87146	3.19931	3.07888	2.40913	6.92060	4.99592	4.66376	4.93501	5.11916	4.74291	2.31578	3.86726	7.78422	4.67294	4.43777	4.67392	4.25746	4.06011	3.22114	7.27286	2.67309	2.28900	1.71642	4.00831	3.02985	3.87004	3.52360	3.64737	3.66055	5.75152
HIST1H4L	0.07289	0.00000	0.00000	0.00000	0.08252	0.00000	0.00000	0.00000	0.11593	0.12554	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.88631	0.09659	0.03582	0.03174	0.00000	0.03096	1.13585	0.00000	0.00000	0.00000	0.03324	0.12329	0.19962	0.24097	0.15214	0.03397	0.00000	0.09820	0.07851	0.10216	0.00000	0.00000	0.05027	0.26212	0.00000	0.00000	0.14449	0.01542	0.03605	0.14209	0.00000	0.03565	0.14169	0.00000	0.00000	0.06429	0.03179	0.00000	0.00000	0.06379	0.05512	0.07782	0.00000	0.15339	0.05494	0.00000	0.06669	0.00000	0.04925	0.09572	0.07891	0.08737	0.00000	0.14529	0.00000
ASF1A	7.95291	8.37329	5.46640	4.86056	6.74938	9.71856	6.68687	6.27612	5.42067	6.81754	6.54894	6.14364	5.52142	6.92711	6.92432	6.21438	5.51456	8.18341	9.61707	11.40110	13.39672	6.89687	20.11226	8.47372	2.64810	10.73581	14.58550	11.41640	8.44544	8.30031	12.16017	7.07648	7.44949	8.36813	5.50945	8.93759	6.97378	5.18405	4.72321	7.02469	3.59080	9.81164	3.13027	4.62703	6.11061	7.53645	10.48134	9.04754	3.79259	10.45036	8.30305	6.22810	6.81010	8.81603	6.81547	13.27291	9.53607	7.81779	11.46893	10.95188	5.62943	7.89264	6.81873	4.64285	3.33336	10.49689	3.88800	4.40985	4.29199	2.66990	9.02931	8.52725
GTF2H3	12.06771	12.16773	7.78212	5.61676	8.36946	5.35997	10.85873	9.56740	9.18410	8.94742	8.25142	13.13130	9.45289	9.17459	8.47889	10.49846	9.36193	14.04663	2.75775	13.65489	12.37925	7.93127	12.83883	9.29983	5.11685	10.63557	12.05830	10.52193	10.03580	5.88979	5.70138	8.43496	9.18231	8.32290	6.89315	6.93291	14.09303	5.51627	4.50545	10.04735	7.42550	8.26999	2.72816	10.62316	11.07356	6.68331	14.93367	12.69068	5.55757	12.81501	11.90299	7.54821	12.19146	12.34321	10.65137	5.17291	11.51370	12.07427	16.67907	9.66337	10.94639	13.15868	10.07718	7.27650	4.28491	17.46921	8.99458	13.47373	7.17223	6.82823	8.09867	10.76871
